event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0138119548552791,.01307216,-.051303152,.023679243,-1.381195485527914,-5.130315199494362,2.367924340069294
-5,-.0181499671807243,.015853276,-.06361746,.027317524,-1.814996718072428,-6.361746042966843,2.731752395629883
-4,.0306786602425041,.015881723,-.014870415,.076227732,3.067866024250411,-1.48704145103693,7.622773200273514
-3,.0189000476510084,.016028648,-.027070416,.064870514,1.890004765100844,-2.70704161375761,6.487051397562027
-2,-.0234228674221209,.014060939,-.063749902,.016904166,-2.342286742212092,-6.374990195035934,1.690416596829891
-1,0,0,0,0,0,0,0
-1,-.015484213016003,.017957952,-.066987954,.036019526,-1.548421301600296,-6.698795408010483,3.601952642202377
0,.0459084567436652,.014723897,.0036800462,.088136867,4.590845674366519,.3680046182125807,8.813686668872833
1,.046616002520539,.021202035,-.01419183,.10742383,4.661600252053902,-1.41918295994401,10.7423834502697
2,.0718551699971066,.021073215,.0114168,.13229354,7.185516999710657,1.141680032014847,13.22935372591019
3,.0447946887549565,.024156401,-.024486318,.1140757,4.479468875495654,-2.448631823062897,11.40756979584694
4,.0607741675252723,.023253486,-.005917259,.12746559,6.077416752527226,-.5917259026318789,12.74655908346176
5,.049213203600826,.02405118,-.019766029,.11819243,4.921320360082597,-1.976602897047997,11.81924343109131
6,.0526440729122488,.025736192,-.021167804,.12645595,5.264407291224876,-2.116780355572701,12.64559477567673
7,.0985809265706596,.026182119,.023490122,.17367174,9.85809265706596,2.349012158811092,17.36717373132706
8,.129894724621628,.025830802,.055811509,.20397794,12.9894724621628,5.581150949001312,20.39779424667358
