event_time,coef,se,ll,ul,coef_plot,ll_plot,ul_plot
-6,.0004385899268623,.0007937472,-.0018396789,.0027168586,.0004385899268623,-.0018396788509563,.0027168586384505
-5,.0010073524127043,.0013527798,-.0028754908,.0048901956,.0010073524127043,-.0028754908125848,.0048901955597103
-4,.0016271526337148,.0013490305,-.0022449293,.0054992349,.0016271526337148,-.002244929317385,.0054992348887026
-3,-.0020816296437546,.0013757098,-.0060302881,.001867029,-.0020816296437546,-.0060302880592644,.001867029001005
-2,.0008349209148749,.001213095,-.0026469894,.004316831,.0008349209148749,-.002646989421919,.0043168310075998
-1,0,0,0,0,0,0,0
-1,.001804100147483,.00094980112,-.0009220856,.004530286,.001804100147483,-.0009220856009051,.0045302859507501
0,.0023704660108941,.0014476372,-.0017846436,.0065255756,.0023704660108941,-.0017846436239779,.0065255756489933
1,-.0010660312122793,.0011631403,-.0044045579,.0022724955,-.0010660312122793,-.0044045578688383,.002272495534271
2,.0032064475252525,.0012620031,-.00041584211,.006828737,.0032064475252525,-.0004158421070315,.0068287369795144
3,-.0004342804020912,.0013809613,-.0043980125,.0035294516,-.0004342804020912,-.0043980125337839,.0035294515546411
4,-.0006946392768632,.0012061575,-.004156637,.0027673584,-.0006946392768632,-.0041566370055079,.0027673584409058
5,-.0034729747216064,.0014746315,-.0077055651,.00075961574,-.0034729747216064,-.0077055650763214,.0007596157374792
6,.0007573034562733,.0013870678,-.0032239559,.0047385627,.0007573034562733,-.0032239558640867,.0047385627403855
7,.0002457247086276,.0019773247,-.0054297312,.0059211804,.0002457247086276,-.0054297312162817,.0059211803600192
8,-.000465294318541,.0013253932,-.004269531,.0033389423,-.000465294318541,-.0042695309966803,.0033389423042536
