route,route_ident,total_departures_performed,departures_per_week
11697-11292,FLL-DEN,17,1.3076923076923077
11697-12391,FLL-ISP,51,3.923076923076923
11697-15356,FLL-TTN,51,3.923076923076923
11775-11292,FSD-DEN,39,3
11884-12889,GEG-LAS,25,1.9230769230769231
11986-11292,GRR-DEN,34,2.6153846153846154
11986-13204,GRR-MCO,76,5.846153846153846
11986-14635,GRR-RSW,48,3.6923076923076925
11986-15304,GRR-TPA,37,2.8461538461538463
11996-11292,GSP-DEN,24,1.8461538461538463
12217-11292,HSV-DEN,29,2.230769230769231
12217-13204,HSV-MCO,33,2.5384615384615383
12264-10423,IAD-AUS,65,5
12264-12889,IAD-LAS,39,3
12264-13204,IAD-MCO,71,5.461538461538462
12266-11292,IAH-DEN,88,6.769230769230769
12278-11292,ICT-DEN,32,2.4615384615384617
12339-11292,IND-DEN,39,3
12339-12889,IND-LAS,44,3.3846153846153846
12339-13204,IND-MCO,50,3.8461538461538463
12339-14635,IND-RSW,44,3.3846153846153846
12339-14679,IND-SAN,16,1.2307692307692308
12391-11697,ISP-FLL,51,3.923076923076923
12391-13204,ISP-MCO,125,9.615384615384615
12391-14027,ISP-PBI,89,6.846153846153846
12391-14635,ISP-RSW,39,3
12391-15304,ISP-TPA,51,3.923076923076923
12448-11292,JAN-DEN,25,1.9230769230769231
12448-13204,JAN-MCO,32,2.4615384615384617
12451-11292,JAX-DEN,25,1.9230769230769231
12451-12889,JAX-LAS,50,3.8461538461538463
12451-13487,JAX-MSP,25,1.9230769230769231
12451-13930,JAX-ORD,37,2.8461538461538463
12451-14100,JAX-PHL,39,3
12451-15016,JAX-STL,25,1.9230769230769231
12451-15356,JAX-TTN,38,2.923076923076923
12889-10397,LAS-ATL,89,6.846153846153846
12889-10423,LAS-AUS,85,6.538461538461538
12889-10693,LAS-BNA,46,3.5384615384615383
12889-11109,LAS-COS,75,5.769230769230769
12889-11193,LAS-CVG,86,6.615384615384615
12889-11292,LAS-DEN,286,22
12889-11884,LAS-GEG,25,1.9230769230769231
12889-12264,LAS-IAD,39,3
12889-12339,LAS-IND,44,3.3846153846153846
12889-12451,LAS-JAX,51,3.923076923076923
12889-13204,LAS-MCO,89,6.846153846153846
12889-13342,LAS-MKE,42,3.230769230769231
12889-13485,LAS-MSN,40,3.076923076923077
12889-13871,LAS-OMA,32,2.4615384615384617
12889-13930,LAS-ORD,76,5.846153846153846
12889-13931,LAS-ORF,25,1.9230769230769231
12889-14492,LAS-RDU,72,5.538461538461538
12889-14683,LAS-SAT,44,3.3846153846153846
12889-14771,LAS-SFO,40,3.076923076923077
12889-14831,LAS-SJC,29,2.230769230769231
12889-14869,LAS-SLC,36,2.769230769230769
12889-14893,LAS-SMF,32,2.4615384615384617
12889-15016,LAS-STL,87,6.6923076923076925
12889-15304,LAS-TPA,89,6.846153846153846
12892-10397,LAX-ATL,38,2.923076923076923
12892-11292,LAX-DEN,131,10.076923076923077
12951-11292,LFT-DEN,25,1.9230769230769231
12951-13204,LFT-MCO,23,1.7692307692307692
12953-10397,LGA-ATL,90,6.923076923076923
12953-13204,LGA-MCO,88,6.769230769230769
12953-13303,LGA-MIA,87,6.6923076923076925
12992-11292,LIT-DEN,19,1.4615384615384615
13198-11292,MCI-DEN,45,3.4615384615384617
13204-10140,MCO-ABQ,35,2.6923076923076925
13204-10257,MCO-ALB,42,3.230769230769231
13204-10397,MCO-ATL,96,7.384615384615385
13204-10423,MCO-AUS,33,2.5384615384615383
13204-10599,MCO-BHM,20,1.5384615384615385
13204-10685,MCO-BMI,41,3.1538461538461537
13204-10693,MCO-BNA,71,5.461538461538462
13204-10792,MCO-BUF,75,5.769230769230769
13204-11057,MCO-CLT,90,6.923076923076923
13204-11066,MCO-CMH,29,2.230769230769231
13204-11109,MCO-COS,49,3.769230769230769
13204-11193,MCO-CVG,90,6.923076923076923
13204-11292,MCO-DEN,221,17
13204-11423,MCO-DSM,34,2.6153846153846154
13204-11433,MCO-DTW,96,7.384615384615385
13204-11986,MCO-GRR,76,5.846153846153846
13204-12217,MCO-HSV,33,2.5384615384615383
13204-12264,MCO-IAD,74,5.6923076923076925
13204-12339,MCO-IND,50,3.8461538461538463
13204-12391,MCO-ISP,126,9.692307692307692
13204-12448,MCO-JAN,32,2.4615384615384617
13204-12889,MCO-LAS,88,6.769230769230769
13204-12951,MCO-LFT,24,1.8461538461538463
13204-12953,MCO-LGA,90,6.923076923076923
13204-13230,MCO-MDT,38,2.923076923076923
13204-13244,MCO-MEM,26,2
13204-13342,MCO-MKE,85,6.538461538461538
13204-13485,MCO-MSN,46,3.5384615384615383
13204-13487,MCO-MSP,48,3.6923076923076925
13204-13495,MCO-MSY,38,2.923076923076923
13204-13851,MCO-OKC,28,2.1538461538461537
13204-13871,MCO-OMA,43,3.3076923076923075
13204-13891,MCO-ONT,90,6.923076923076923
13204-13930,MCO-ORD,119,9.153846153846153
13204-13931,MCO-ORF,42,3.230769230769231
13204-14100,MCO-PHL,270,20.76923076923077
13204-14307,MCO-PVD,68,5.230769230769231
13204-14321,MCO-PWM,51,3.923076923076923
13204-14492,MCO-RDU,95,7.3076923076923075
13204-14683,MCO-SAT,25,1.9230769230769231
13204-14730,MCO-SDF,26,2
13204-15016,MCO-STL,91,7
13204-15096,MCO-SYR,51,3.923076923076923
13204-15356,MCO-TTN,141,10.846153846153847
13204-15412,MCO-TYS,16,1.2307692307692308
13230-13204,MDT-MCO,38,2.923076923076923
13244-11292,MEM-DEN,50,3.8461538461538463
13244-13204,MEM-MCO,26,2
13303-10397,MIA-ATL,90,6.923076923076923
13303-11292,MIA-DEN,89,6.846153846153846
13303-12953,MIA-LGA,87,6.6923076923076925
13303-13930,MIA-ORD,71,5.461538461538462
13303-14100,MIA-PHL,64,4.923076923076923
13342-11292,MKE-DEN,42,3.230769230769231
13342-12889,MKE-LAS,42,3.230769230769231
13342-13204,MKE-MCO,84,6.461538461538462
13342-14107,MKE-PHX,34,2.6153846153846154
13342-14635,MKE-RSW,87,6.6923076923076925
13342-14679,MKE-SAN,26,2
13342-15304,MKE-TPA,51,3.923076923076923
13485-11292,MSN-DEN,50,3.8461538461538463
13485-12889,MSN-LAS,39,3
13485-13204,MSN-MCO,45,3.4615384615384617
13487-11292,MSP-DEN,143,11
13487-12451,MSP-JAX,25,1.9230769230769231
13487-13204,MSP-MCO,48,3.6923076923076925
13487-14635,MSP-RSW,37,2.8461538461538463
13487-15304,MSP-TPA,48,3.6923076923076925
13495-10423,MSY-AUS,16,1.2307692307692308
13495-11292,MSY-DEN,81,6.230769230769231
13495-13204,MSY-MCO,37,2.8461538461538463
13495-14100,MSY-PHL,75,5.769230769230769
13495-14492,MSY-RDU,25,1.9230769230769231
13495-14683,MSY-SAT,22,1.6923076923076923
13851-11292,OKC-DEN,36,2.769230769230769
13851-13204,OKC-MCO,28,2.1538461538461537
13871-11292,OMA-DEN,32,2.4615384615384617
13871-12889,OMA-LAS,32,2.4615384615384617
13871-13204,OMA-MCO,43,3.3076923076923075
13871-14635,OMA-RSW,25,1.9230769230769231
13891-11292,ONT-DEN,41,3.1538461538461537
13891-13204,ONT-MCO,87,6.6923076923076925
13891-14683,ONT-SAT,14,1.0769230769230769
13930-11292,ORD-DEN,122,9.384615384615385
13930-12451,ORD-JAX,38,2.923076923076923
13930-12889,ORD-LAS,74,5.6923076923076925
13930-13204,ORD-MCO,117,9
13930-13303,ORD-MIA,71,5.461538461538462
13930-14107,ORD-PHX,78,6
13930-14193,ORD-PNS,24,1.8461538461538463
13930-14635,ORD-RSW,63,4.846153846153846
13930-15304,ORD-TPA,85,6.538461538461538
13931-11292,ORF-DEN,25,1.9230769230769231
13931-12889,ORF-LAS,24,1.8461538461538463
13931-13204,ORF-MCO,42,3.230769230769231
14027-11066,PBI-CMH,25,1.9230769230769231
14027-12391,PBI-ISP,88,6.769230769230769
14027-14100,PBI-PHL,39,3
14027-14122,PBI-PIT,26,2
14027-14492,PBI-RDU,39,3
14027-15016,PBI-STL,31,2.3846153846153846
14027-15356,PBI-TTN,88,6.769230769230769
14057-11292,PDX-DEN,102,7.846153846153846
14100-10423,PHL-AUS,37,2.8461538461538463
14100-10693,PHL-BNA,25,1.9230769230769231
14100-10994,PHL-CHS,15,1.1538461538461537
14100-11057,PHL-CLT,50,3.8461538461538463
14100-11292,PHL-DEN,89,6.846153846153846
14100-12451,PHL-JAX,39,3
14100-13204,PHL-MCO,269,20.692307692307693
14100-13303,PHL-MIA,64,4.923076923076923
14100-13495,PHL-MSY,75,5.769230769230769
14100-14027,PHL-PBI,39,3
14100-14635,PHL-RSW,90,6.923076923076923
14100-15304,PHL-TPA,103,7.923076923076923
14107-11109,PHX-COS,75,5.769230769230769
14107-11193,PHX-CVG,50,3.8461538461538463
14107-11292,PHX-DEN,214,16.46153846153846
14107-11423,PHX-DSM,30,2.3076923076923075
14107-11986,PHX-GRR,24,1.8461538461538463
14107-13342,PHX-MKE,34,2.6153846153846154
14107-13930,PHX-ORD,74,5.6923076923076925
14107-14492,PHX-RDU,39,3
14107-14635,PHX-RSW,39,3
14122-11292,PIT-DEN,25,1.9230769230769231
14122-14027,PIT-PBI,26,2
14193-11292,PNS-DEN,36,2.769230769230769
14193-13930,PNS-ORD,24,1.8461538461538463
14262-11292,PSP-DEN,48,3.6923076923076925
14307-13204,PVD-MCO,68,5.230769230769231
14307-14635,PVD-RSW,24,1.8461538461538463
14307-15304,PVD-TPA,50,3.8461538461538463
14321-13204,PWM-MCO,51,3.923076923076923
14321-14635,PWM-RSW,24,1.8461538461538463
14321-15304,PWM-TPA,38,2.923076923076923
14492-11292,RDU-DEN,88,6.769230769230769
14492-12889,RDU-LAS,74,5.6923076923076925
14492-13204,RDU-MCO,95,7.3076923076923075
14492-13495,RDU-MSY,25,1.9230769230769231
14492-14027,RDU-PBI,39,3
14492-14107,RDU-PHX,39,3
14492-14679,RDU-SAN,25,1.9230769230769231
14492-15356,RDU-TTN,24,1.8461538461538463
14570-11292,RNO-DEN,25,1.9230769230769231
14635-10693,RSW-BNA,46,3.5384615384615383
14635-10792,RSW-BUF,37,2.8461538461538463
14635-11193,RSW-CVG,89,6.846153846153846
14635-11292,RSW-DEN,89,6.846153846153846
14635-11433,RSW-DTW,38,2.923076923076923
14635-11986,RSW-GRR,48,3.6923076923076925
14635-12339,RSW-IND,44,3.3846153846153846
14635-12391,RSW-ISP,39,3
14635-13342,RSW-MKE,87,6.6923076923076925
14635-13487,RSW-MSP,38,2.923076923076923
14635-13871,RSW-OMA,25,1.9230769230769231
14635-13930,RSW-ORD,63,4.846153846153846
14635-14100,RSW-PHL,90,6.923076923076923
14635-14107,RSW-PHX,39,3
14635-14307,RSW-PVD,24,1.8461538461538463
14635-14321,RSW-PWM,24,1.8461538461538463
14635-14869,RSW-SLC,25,1.9230769230769231
14635-15096,RSW-SYR,38,2.923076923076923
14635-15356,RSW-TTN,64,4.923076923076923
14679-10423,SAN-AUS,27,2.076923076923077
14679-11193,SAN-CVG,39,3
14679-11292,SAN-DEN,133,10.23076923076923
14679-12339,SAN-IND,16,1.2307692307692308
14679-13342,SAN-MKE,25,1.9230769230769231
14679-14492,SAN-RDU,26,2
14679-14683,SAN-SAT,21,1.6153846153846154
14683-11292,SAT-DEN,89,6.846153846153846
14683-12889,SAT-LAS,43,3.3076923076923075
14683-13204,SAT-MCO,25,1.9230769230769231
14683-13495,SAT-MSY,21,1.6153846153846154
14683-13891,SAT-ONT,14,1.0769230769230769
14683-14679,SAT-SAN,21,1.6153846153846154
14683-14869,SAT-SLC,26,2
14683-14908,SAT-SNA,38,2.923076923076923
14685-11292,SAV-DEN,25,1.9230769230769231
14689-11292,SBA-DEN,38,2.923076923076923
14730-11292,SDF-DEN,25,1.9230769230769231
14730-13204,SDF-MCO,26,2
14747-11292,SEA-DEN,95,7.3076923076923075
14771-10397,SFO-ATL,51,3.923076923076923
14771-11292,SFO-DEN,123,9.461538461538462
14771-12889,SFO-LAS,40,3.076923076923077
14831-11292,SJC-DEN,27,2.076923076923077
14831-12889,SJC-LAS,29,2.230769230769231
14869-10397,SLC-ATL,39,3
14869-10423,SLC-AUS,39,3
14869-11292,SLC-DEN,185,14.23076923076923
14869-12889,SLC-LAS,36,2.769230769230769
14869-14635,SLC-RSW,25,1.9230769230769231
14869-14683,SLC-SAT,26,2
14893-11292,SMF-DEN,35,2.6923076923076925
14893-12889,SMF-LAS,32,2.4615384615384617
14908-10423,SNA-AUS,50,3.8461538461538463
14908-11292,SNA-DEN,88,6.769230769230769
14908-14683,SNA-SAT,39,3
15016-11292,STL-DEN,91,7
15016-12451,STL-JAX,25,1.9230769230769231
15016-12889,STL-LAS,88,6.769230769230769
15016-13204,STL-MCO,91,7
15016-14027,STL-PBI,31,2.3846153846153846
15096-13204,SYR-MCO,51,3.923076923076923
