event_time,coef,ll,ul,coef_plot,ll_plot,ul_plot
-6,.007637030032774,-.024485016,.039759077,.007637030032774,-.0244850162416697,.0397590771317482
-5,.0082734295355454,-.022545755,.039092615,.0082734295355454,-.0225457549095154,.0390926152467728
-4,.0231393608749929,-.012244636,.058523357,.0231393608749929,-.0122446361929178,.0585233569145203
-3,.0022831711792393,-.02427334,.028839681,.0022831711792393,-.0242733396589756,.0288396812975407
-2,.0114588743209649,-.033218108,.056135856,.0114588743209649,-.0332181081175804,.056135855615139
-1,0,0,0,0,0,0
-1,-.013934506273872,-.053884596,.026015583,-.013934506273872,-.0538845956325531,.0260155834257603
0,.1977648930774356,.15511388,.24041592,.1977648930774356,.1551138758659363,.2404159158468246
1,.2382964252784245,.18926236,.28733048,.2382964252784245,.1892623603343964,.2873304784297943
2,.1841833362017097,.13536327,.23300341,.1841833362017097,.1353632658720016,.2330034077167511
3,.1862422152482038,.12702735,.24545708,.1862422152482038,.1270273476839066,.2454570829868317
4,.1896107423912297,.13397367,.24524781,.1896107423912297,.1339736729860306,.2452478110790253
5,.1843634440905643,.12567136,.24305554,.1843634440905643,.1256713569164276,.2430555373430252
6,.154494561029687,.095087208,.21390192,.154494561029687,.0950872078537941,.2139019221067429
7,.1718462451869895,.099542029,.24415046,.1718462451869895,.0995420292019844,.2441504597663879
8,.1684991381439401,.10142069,.23557758,.1684991381439401,.1014206930994987,.2355775833129883
