event_time,coef,ll,ul,coef_plot,ll_plot,ul_plot
-6,-.0004855253693857,-.0028057278,.0018346771,-.0004855253693857,-.0028057277668267,.001834677066654
-5,-.0012249545647239,-.0044871797,.0020372705,-.0012249545647239,-.004487179685384,.0020372704602778
-4,.0041888692715487,.0010755917,.0073021469,.0041888692715487,.0010755916591734,.0073021468706429
-3,-.0031606773286172,-.0065679206,.00024656608,-.0031606773286172,-.0065679205581546,.0002465660800226
-2,.0011966479581421,-.0022136266,.0046069226,.0011966479581421,-.0022136266343296,.0046069226227701
-1,-.0007499933679806,-.0037178916,.0022179049,-.0007499933679806,-.0037178916390985,.0022179048974067
-1,0,0,0,0,0,0
0,.002389541738644,-.00051888236,.0052979658,.002389541738644,-.0005188823561184,.0052979658357799
1,-.0000782025076591,-.0027619791,.002605574,-.0000782025076591,-.0027619791217148,.0026055739726871
2,.0030624035863282,.00009742831,.0060273791,.0030624035863282,.0000974283102551,.0060273790732026
3,.0000725144717188,-.002768547,.0029135759,.0000725144717188,-.0027685470413417,.0029135758522898
4,-.000209467070811,-.0031465918,.0027276578,-.000209467070811,-.003146591829136,.0027276577893645
5,-.0020446944346026,-.0052383565,.0011489679,-.0020446944346026,-.0052383565343916,.0011489678872749
6,.0025610798570607,-.0004587617,.0055809217,.0025610798570607,-.000458761700429,.0055809216573834
7,.0002992322102057,-.0034478197,.0040462841,.0002992322102057,-.0034478197339922,.0040462841279805
8,.0013686154667138,-.0015848821,.004322113,.0013686154667138,-.0015848821494728,.0043221130035818
