event_time,coef,ll,ul,coef_plot,ll_plot,ul_plot
-6,.0041073088679392,-.0012128106,.0094274282,.0041073088679392,-.0012128106318414,.0094274282455444
-5,-.0038222798220182,-.0091750296,.0015304702,-.0038222798220182,-.0091750295832753,.0015304702101275
-4,-.002373331436194,-.0076174601,.0028707969,-.002373331436194,-.0076174600981176,.0028707969468087
-3,-.0022934444649471,-.007860289,.0032734005,-.0022934444649471,-.0078602889552712,.003273400478065
-2,.0027242821621735,-.0028144668,.008263031,.0027242821621735,-.0028144668322057,.0082630310207605
-1,-.0000202099337849,-.0059000589,.005859639,-.0000202099337849,-.0059000588953495,.0058596390299499
-1,0,0,0,0,0,0
0,-.0007740690594195,-.0062828502,.0047347117,-.0007740690594195,-.0062828501686454,.0047347117215395
1,-.0005446185083994,-.0071697966,.0060805595,-.0005446185083994,-.0071697966195643,.0060805594548583
2,.0014375979362454,-.0058851261,.0087603219,.0014375979362454,-.0058851260691881,.0087603218853474
3,.0069419365274141,-.00075791642,.01464179,.0069419365274141,-.0007579164230265,.0146417897194624
4,.0056897849028085,-.0013693615,.012748932,.0056897849028085,-.0013693615328521,.0127489315345883
5,.0103749104032482,.0029690829,.017780738,.0103749104032482,.0029690829105675,.0177807379513979
6,.0104106974707215,.0026459545,.01817544,.0104106974707215,.0026459544897079,.0181754399091005
7,.0044309036127804,-.0052810186,.014142826,.0044309036127804,-.0052810185588896,.0141428261995316
8,.0028024196758141,-.0063119582,.011916798,.0028024196758141,-.0063119581900537,.0119167976081371
