pctile,outcome,scale,att,se,z,p,ll,ul,att_pct,ll_pct,ul_pct
10,ln_fare_p10,log,-.1195875431254879,.0091469316,-13.074061,,-.13801844,-.10115664,-11.27136713994491,-12.8917374807528,-9.620855218347391
25,ln_fare_p25,log,-.0781322757776966,.0075396015,-10.362918,,-.093164705,-.063099846,-7.515791575368381,-8.89565652338673,-6.115027160977404
75,ln_fare_p75,log,-.0525013056565725,.0073172422,-7.1750126,,-.066753156,-.038249459,-5.114691782127057,-6.457392329693468,-3.752718667733546
90,ln_fare_p90,log,-.0408235284731449,.0072423699,-5.6367636,,-.055135116,-.026511941,-4.000147259364473,-5.364272867659759,-2.616358491690418
