comparison_group,n_routes,avg_fare,avg_distance,avg_distance_2,avg_num_carriers,avg_hhi,prop_hub_routes,avg_n_legacy_carriers,avg_legacy_carrier_share,avg_n_lcc_carriers,avg_delay,avg_delay_15_rate,avg_cancellation_rate,avg_scheduled_flights,avg_seat_capacity,avg_load_factor,avg_route_size
Control (Never-Treated Routes),2993,226.52528092923717,755.3237554293365,755.3237554293365,1.4988306047444035,8527.338223409732,83.02706314734371,0.39425325760106916,27.724616191532622,0.3164049448713665,13.37243406076424,21.83597165409117,2.27539761378571,348.7988640160379,37594.18743735386,77.88764308556223,29850.22786501835
Treated (Future Entry Routes),453,232.4010976702867,1025.98233995585,1025.98233995585,1.924944812362031,7610.931706031054,67.77041942604859,0.7527593818984547,45.958347599491994,0.5673289183222958,12.97021411184117,22.039506319759965,1.3373479099879253,487.0816777041941,65840.03532008833,82.17022399441814,54892.26710816778
