route,comparison_group,baseline_avg_fare,baseline_avg_distance,baseline_distance_2,baseline_num_carriers,baseline_hhi,baseline_hub_route,baseline_n_legacy_carriers,baseline_legacy_carrier_share,baseline_n_lcc_carriers,baseline_avg_delay,baseline_delay_15_rate,baseline_cancellation_rate,baseline_avg_scheduled_flights,baseline_avg_seat_capacity,baseline_load_factor,baseline_route_size
10140-14771,Control (Never-Treated Routes),235.91708333333332,896,896,1,10000,1,0,0,0,5.778065525206136,13.72123905823879,1.649972603862541,90,4596,77.98085291557877,3584
10140-14869,Control (Never-Treated Routes),184.59209039548026,493,493,1,10000,1,0,0,0,7.97699718652625,7.821365431331043,1.3262630675545795,252,18831,85.69911316446286,16138
10141-13487,Control (Never-Treated Routes),190.18117647058824,257,257,1,10000,1,0,0,0,14.035290877557118,17.040901342725196,1.0413740555655002,198,9900,78.9090909090909,7812
10146-10397,Control (Never-Treated Routes),80.5,145,145,1,10000,1,0,0,0,9.604939935512693,14.440227616041618,0.9325622801530048,255,12750,59.42745098039216,7577
10155-11298,Control (Never-Treated Routes),115.8,89,89,1,10000,1,0,0,0,9.654749385675512,12.696012034982004,7.220889142521016,407,19688,81.96363266964649,16137
10157-14771,Control (Never-Treated Routes),259.03636363636366,250,250,1,10000,1,0,0,0,18.53781221022512,21.933438367030316,8.725057319396695,577,17310,73.71461582900058,12760
10157-14893,Control (Never-Treated Routes),190.3030303030303,207,207,1,10000,1,0,0,0,6.8325624913632685,12.974445500101755,8.086031304072183,149,4470,49.53020134228188,2214
10185-10397,Control (Never-Treated Routes),223.56814285714287,500,500,1,10000,1,0,0,0,18.292721609862223,23.11806445506419,0.5388614927514299,381,19050,77.44356955380577,14753
10185-11298,Control (Never-Treated Routes),157.85664006453217,285,285,2,7629.20510243963,1,0,0,0,14.902294495435882,18.45525617350999,6.673830817904804,307,14907,70.92641041121621,10573
10185-12266,Control (Never-Treated Routes),251.69243902439018,190,190,1,10000,1,0,0,0,12.37647030965559,14.057179024064153,2.145287195562675,249,10890,72.66299357208447,7913
10208-10397,Control (Never-Treated Routes),97.58772953946367,143,143,2,5535.850939563394,1,1,33.6315709433771,0,10.357766769730397,14.984667775818847,1.0890678201241948,732,47386,83.2608787405563,39454
10257-10397,Control (Never-Treated Routes),329.473333752334,853,853,2,5821.739276576663,1,1,70.26991954321308,0,15.904382050790959,22.782886071105317,1.6971626510525881,257,30773,75.12429727358398,23118
10257-10821,Control (Never-Treated Routes),149.10984049079755,289,289,1,10000,1,0,0,1,12.901071441406803,26.76780959092514,0.976498254239395,455,65375,77.60152963671129,50732
10257-11057,Control (Never-Treated Routes),217.45002303685132,646,646,2,6473.634851122766,1,1,77.14438110477715,0,11.895307927408108,21.698513406133085,2.425653945581619,313,36864,81.3720703125,29997
10257-11433,Control (Never-Treated Routes),291.3476875,489,489,1,10000,1,0,0,0,7.600801314168342,14.955454405661683,0.784561738451676,407,20349,85.96491228070175,17493
10257-11618,Control (Never-Treated Routes),204.63428571428568,143,143,1,10000,1,0,0,0,22.536875509103073,28.4433002498652,9.53886149275143,93,4650,55.35483870967742,2574
10257-11697,Control (Never-Treated Routes),218.4536883629192,1204,1204,1,10000,1,0,0,1,13.303106328721519,22.328897564202382,2.2337767469887178,58,8288,83.67519305019306,6935
10257-12264,Control (Never-Treated Routes),187.95100000000002,325,325,1,10000,1,0,0,0,12.891498958639573,19.105122942122676,6.8451677990577355,104,5200,90.36538461538461,4699
10257-12889,Control (Never-Treated Routes),248.72696498054484,2237,2237,1,10000,1,0,0,1,9.803352741183009,18.28739065887315,1.637762591652529,90,12902,84.67679429545807,10925
10257-13204,Treated (Future Entry Routes),204.34348951048955,1073,1073,1,10000,1,0,0,1,11.265741158132606,19.390811898380196,1.130577469082791,168,25312,76.09829329962074,19262
10257-13232,Control (Never-Treated Routes),224.622840909091,717,717,1,10000,1,0,0,1,20.206060547791328,51.2357876547546,1.0883120422019796,181,28719,78.74926007172952,22616
10257-13487,Control (Never-Treated Routes),304.3940710059171,980,980,2,5066.568047337278,1,0,0,0,19.569211044876084,20.014628250930077,5.623607255463295,56,4144,75.2895752895753,3120
10257-13930,Control (Never-Treated Routes),268.30466299513716,723,723,2,5372.105659944056,1,1,63.64011840022028,0,19.491537056438865,30.917480075375337,1.0363739305623754,200,17702,82.06417353971302,14527
10257-15304,Control (Never-Treated Routes),203.84643902439018,1130,1130,1,10000,1,0,0,1,9.187010774803563,22.548131167739598,1.6258180144905605,91,13013,77.99892415277031,10150
10268-13930,Control (Never-Treated Routes),160.13590909090908,234,234,1,10000,1,0,0,0,19.33498344712873,22.082953286661212,6.456021256065039,160,7037,73.85249396049453,5197
10279-11259,Control (Never-Treated Routes),140.65538106235564,323,323,1,10000,1,0,0,1,12.607861024778456,18.913010448914797,1.9309728616609427,426,57396,72.2384835180152,41462
10279-11292,Control (Never-Treated Routes),133.87161328359164,359,359,2,6328.154241467134,1,0,0,1,18.593430208235247,30.122637500942073,3.3252392017297585,315,31167,74.61738377129656,23256
10279-11298,Control (Never-Treated Routes),133.86624921114867,312,312,2,5000.26349845919,1,0,0,0,19.819388181841937,25.918854782576382,7.621014467255679,656,32500,76.71692307692307,24933
10279-12266,Control (Never-Treated Routes),219.85035714285726,517,517,1,10000,1,0,0,0,16.932863914434307,21.647151366355345,3.3458790366110795,283,13955,72.95592977427445,10181
10279-12889,Control (Never-Treated Routes),234.60345794392518,758,758,1,10000,1,0,0,1,8.040996282049939,14.46842102281206,0.5388614927514299,94,12566,82.25370046156296,10336
10333-11433,Control (Never-Treated Routes),85.4,198,198,1,10000,1,0,0,0,10.34192795906857,18.91065704765678,1.9674329213228585,69,3450,46.17391304347826,1593
10333-13487,Control (Never-Treated Routes),87.67574468085107,473,473,1,10000,1,0,0,0,8.830351604388769,7.984163151747592,1.6258180144905605,92,4600,38,1748
10361-13930,Control (Never-Treated Routes),237.29696428571424,618,618,1,10000,1,0,0,0,17.40822312961906,24.251315233705043,7.328984949541553,152,6688,70.69377990430623,4728
10397-10135,Control (Never-Treated Routes),273.52192827799126,692,692,2,6986.302304092469,1,0,0,0,14.002254489680814,24.388208068064944,0.9470247580575523,245,13285,85.79601053820097,11398
10397-10140,Control (Never-Treated Routes),286.4954517133956,1269,1269,1,10000,1,1,100,0,9.079290596431209,16.040327377327113,0.5388614927514299,261,38994,84.39503513361029,32909
10397-10146,Control (Never-Treated Routes),110.25777777777778,145,145,1,10000,1,0,0,0,11.613462399616445,17.599097463193075,0.9325622801530048,255,12750,59.92156862745098,7640
10397-10185,Control (Never-Treated Routes),267.012987012987,500,500,1,10000,1,0,0,0,12.142880340020954,23.024942761942498,0.5388614927514299,378,18900,76.92063492063492,14538
10397-10208,Control (Never-Treated Routes),224.38791975586503,143,143,2,5453.836985212644,1,1,34.936185987396065,0,10.67321285135238,17.4428689661919,0.8143435864153418,724,46540,81.14740008594758,37766
10397-10257,Control (Never-Treated Routes),327.1371734840984,853,853,2,6154.775850500154,1,1,74.02889771192338,0,11.251097843238457,18.847722684722417,1.6971626510525881,258,30983,78.85291934286545,24431
10397-10408,Control (Never-Treated Routes),287.4139189189189,765,765,1,10000,1,0,0,0,22.75487941984612,32.4808433830605,1.7810975175961505,159,11409,84.25804189674818,9613
10397-10423,Treated (Future Entry Routes),230.3422865218435,813,813,3,6301.230137908082,1,1,77.06619753336588,2,12.729138322141,25.307445954790513,0.5388614927514299,788,125919,86.22130099508414,108569
10397-10431,Control (Never-Treated Routes),224.36886443702315,164,164,3,5210.037873496231,1,1,25.69929527180156,0,11.28895485714217,18.006425095437713,1.0150519689419062,631,38664,83.31005586592178,32211
10397-10434,Control (Never-Treated Routes),229.3373809523809,714,714,1,10000,1,0,0,0,14.153966482343051,25.020448379920023,0.5388614927514299,90,6616,81.5447400241838,5395
10397-10529,Control (Never-Treated Routes),215.46891402846765,859,859,2,7169.608582176383,1,1,82.93636730254555,1,6.264569713317955,13.317161956614004,0.6751012747677787,735,105705,77.41261056714441,81829
10397-10599,Control (Never-Treated Routes),212.47028584210906,134,134,2,8825.957033227554,1,1,93.73760986398065,0,7.698002033142645,14.363038000037735,0.6531472070371444,881,114951,75.91669493958295,87267
10397-10685,Control (Never-Treated Routes),281.4991178177172,533,533,2,5883.991193568558,1,1,28.97630867843901,0,18.065149623767507,26.734860117314398,1.2964372503271875,262,20519,77.55251230566792,15913
10397-10693,Control (Never-Treated Routes),278.6526961987861,214,214,2,9409.33921884181,1,1,96.95390941573348,0,8.147224909309342,12.885616919245866,0.5388614927514299,895,126226,79.37667358547368,100194
10397-10721,Control (Never-Treated Routes),228.026351685097,946,946,2,6470.118654801473,1,1,77.11197756344484,1,7.436799097488097,15.534859129923376,0.6870096408995781,1360,202303,86.71547134743429,175428
10397-10731,Control (Never-Treated Routes),145.95555555555555,238,238,1,10000,1,0,0,0,9.657218258945495,22.06076264994352,1.3420743441570524,248,12430,63.6283185840708,7909
10397-10781,Control (Never-Treated Routes),288.1261866320478,448,448,2,7751.529015119961,1,1,12.908700379199702,0,13.417690751478105,23.090455125863592,0.8055281594180967,761,44891,84.00570270210065,37711
10397-10785,Control (Never-Treated Routes),254.2659097708637,961,961,2,5011.357646703711,1,1,47.6169718105202,0,15.11042612756674,29.053147890147617,4.983305937195874,86,8042,85.57572743098731,6882
10397-10792,Control (Never-Treated Routes),219.44199483147426,712,712,2,7560.113143448731,1,1,85.77787824514424,1,6.765988109444511,12.703138250664301,0.5388614927514299,533,79543,72.29925952000804,57509
10397-10821,Control (Never-Treated Routes),176.11532699164096,577,577,3,4750.816334022514,1,1,64.06827804276757,2,9.31348613484023,17.57858995491553,0.7845617384516756,1634,244938,76.17846148821334,186590
10397-10849,Control (Never-Treated Routes),355.8088607594937,1640,1640,1,10000,1,1,100,0,6.303582094406917,11.95125855141618,0.5388614927514299,19,2870,98.50174216027875,2827
10397-10868,Control (Never-Treated Routes),216.2646729176668,192,192,2,5063.22553682126,1,1,44.37747668651971,0,10.14519216797794,14.731394374845719,0.53886149275143,753,55194,76.35431387469652,42143
10397-10874,Control (Never-Treated Routes),174.80575809261208,528,528,2,5095.500946114691,1,1,56.91017170968606,1,8.082348258643801,15.352955281504311,0.5388614927514299,641,84793,74.79508921727029,63421
10397-10980,Control (Never-Treated Routes),158.64285714285714,106,106,1,10000,1,0,0,0,10.676399893093578,18.417493972370803,0.9113009713361601,540,27116,89.61129960171117,24299
10397-10990,Control (Never-Treated Routes),272.30612499999995,457,457,1,10000,1,0,0,0,14.350760128550164,22.918913843145276,1.3293753267435249,251,12550,88.4621513944223,11102
10397-10994,Control (Never-Treated Routes),289.54656628967274,259,259,2,9518.293365080652,1,1,97.5304816148577,0,7.061402352599568,11.92022578081042,0.5388614927514299,849,118486,78.98063906284287,93581
10397-11003,Control (Never-Treated Routes),317.853291883555,694,694,2,5830.073432666907,1,0,0,0,13.990979230059652,22.804348335952778,1.7785309142390335,240,12000,89.05,10686
10397-11057,Control (Never-Treated Routes),241.42683788289185,226,226,3,4869.773396770643,1,2,98.05626090021055,0,10.440246131421933,19.316603784678808,1.2665752586701688,1644,253817,87.19904498122663,221326
10397-11066,Control (Never-Treated Routes),201.21529247901185,447,447,3,6799.659464030948,1,1,80.53003460777852,1,9.666597420532614,17.226297163748363,0.5388614927514299,889,126443,76.78400544118695,97088
10397-11109,Treated (Future Entry Routes),222.07931972789112,1184,1184,1,10000,1,1,100,0,7.247518021180372,12.2945079793338,0.5388614927514299,93,14922,83.33333333333334,12435
10397-11146,Control (Never-Treated Routes),253.04278583719187,363,363,3,4478.408975535622,1,1,35.534039334341905,0,12.429438760906022,19.683459157994708,1.1119273953302267,348,23442,70.49313198532549,16525
10397-11150,Control (Never-Treated Routes),110.38888888888889,83,83,1,10000,1,0,0,0,10.29643079951721,20.05179351075121,4.60136149275143,311,15576,56.9658448895737,8873
10397-11193,Treated (Future Entry Routes),241.27423728813568,373,373,1,10000,1,1,100,0,6.312071058753267,11.611699977562191,0.5388614927514299,597,89777,79.6105906858104,71472
10397-11252,Control (Never-Treated Routes),180.9872549019608,366,366,1,10000,1,1,100,0,8.228435895576506,16.98049831749805,0.5388614927514299,361,57412,87.41029749878074,50184
10397-11259,Control (Never-Treated Routes),233.6022222222222,721,721,1,10000,1,0,0,0,13.81707430009584,21.019256045641555,3.316639270529208,387,19350,77.86046511627906,15066
10397-11267,Control (Never-Treated Routes),146.0544914172606,432,432,2,6007.100518665846,1,1,72.43992556433561,1,9.253409935036528,19.493478587487665,0.5388614927514299,642,92174,80.45435806192636,74158
10397-11278,Control (Never-Treated Routes),208.32388389039411,547,547,2,6351.67360945551,1,1,75.99686143994607,1,8.66984108195911,15.47564992636594,1.0618132649768803,1712,247772,76.64142840998983,189896
10397-11298,Control (Never-Treated Routes),248.68305495323065,731,731,3,5131.301284162007,1,2,99.76616149656643,0,8.331972178069243,13.609208479745702,3.697902887086943,1785,254211,79.73848495934479,202704
10397-11308,Control (Never-Treated Routes),223.346875,170,170,1,10000,1,0,0,0,13.56007215640268,20.948450440876137,1.127096786869077,338,16900,77.98224852071006,13179
10397-11423,Control (Never-Treated Routes),307.31585372355835,743,743,3,4073.870166500742,1,1,55.48716064127889,0,11.541827995418988,19.654677403890876,1.6838996606903613,261,27367,79.544707129024,21769
10397-11433,Control (Never-Treated Routes),225.08222351871095,594,594,2,7389.1807452419625,1,1,84.56284670887196,1,8.837123502761273,14.178801413445338,0.5388614927514299,1237,191541,82.63191692640218,158274
10397-11481,Control (Never-Treated Routes),200.59664092255613,240,240,2,7915.559785323995,1,1,88.1808838643371,0,8.353436942492845,13.392500308895208,0.9058339698156503,544,60226,66.23883372629761,39893
10397-11540,Control (Never-Treated Routes),337.5054205607477,1282,1282,1,10000,1,1,100,0,8.2961043837368,16.725489210029927,0.5388614927514299,184,27392,81.97283878504673,22454
10397-11612,Control (Never-Treated Routes),327.10428055020105,350,350,2,5265.714856469918,1,0,0,0,14.341506679025363,23.08814377013405,2.277991927534039,341,17049,82.15731127925392,14007
10397-11617,Control (Never-Treated Routes),187.6208474576271,433,433,1,10000,1,0,0,0,10.927579312120805,20.877428602093534,0.9793901271126637,227,11350,76.96916299559471,8736
10397-11624,Control (Never-Treated Routes),277.5275822724895,646,646,2,7149.176886710745,1,1,82.78091584070482,0,10.06159972039055,16.49685071975649,1.5455729021474032,296,31453,89.49543763710935,28149
10397-11641,Control (Never-Treated Routes),257.68472662599606,331,331,2,6445.830097988929,1,1,23.112920407852684,0,10.124728338821058,16.8011180342296,1.0534412526142087,583,36952,71.13011474345097,26284
10397-11697,Control (Never-Treated Routes),175.06730426068842,581,581,2,6303.228432010421,1,1,75.52673531819552,1,9.07557220714581,17.919788122767237,0.5388614927514299,1750,285585,89.3951012833307,255299
10397-11721,Control (Never-Treated Routes),199.962349330364,645,645,2,8097.581424578565,1,1,89.35467840408917,0,8.82237908688812,13.07907810028836,0.5388614927514299,266,36099,78.04094296240893,28172
10397-11775,Control (Never-Treated Routes),293.08577777777776,954,954,1,10000,1,0,0,0,24.92954700668762,32.09160942860916,0.5388614927514299,75,4897,87.64549724321013,4292
10397-11778,Control (Never-Treated Routes),349.21911764705885,579,579,1,10000,1,0,0,0,11.120990308038994,16.8637703366749,2.96801129032228,242,12100,72.6694214876033,8793
10397-11823,Control (Never-Treated Routes),337.0315155818541,508,508,2,5013.413543721236,1,0,0,0,13.127531502811648,21.57998152163242,0.5388614927514299,259,12973,90.18731210976644,11700
10397-11953,Control (Never-Treated Routes),277.49174603174606,300,300,1,10000,1,0,0,0,10.90210739316105,18.816247109768582,0.5388614927514299,623,31236,88.16109617108464,27538
